Categoria,Nombre,Vendedor,Precio,URL
Electrodomésticos,Plancha De Ropa Black & Decker Vapor Irbd300 Trueglide Azul 120V,No especificado,83340,https://www.mercadolibre.com.co/plancha-de-ropa-black-decker-vapor-irbd300-trueglide-azul-120v/p/MCO21958556#polycard_client=search-nordic&searchVariation=MCO21958556&position=26&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1268736519&sid=search
Electrodomésticos,Freidora De Aire Imusa Max 5l Digital Negra Color Negro 110V,Por Imusa Home & Cook,479900,https://www.mercadolibre.com.co/freidora-de-aire-imusa-max-5l-digital-negra-color-negro-110v/p/MCO48710683#polycard_client=search-nordic&searchVariation=MCO48710683&position=27&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1570675121&sid=search
Electrodomésticos,Gramera De Cocina K-mgc01 Capacidad máxima 5 g Color Negro,Por GM COMUNICACIONESYELECTRONICA,49900,https://www.mercadolibre.com.co/gramera-de-cocina-k-mgc01-capacidad-maxima-5-g-color-negro/p/MCO19738122#polycard_client=search-nordic&searchVariation=MCO19738122&position=28&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1030522530&sid=search
Electrodomésticos,Batidora de inmersión Black+Decker HB2800B negra 110V 60 Hz 200W,No especificado,198000,https://www.mercadolibre.com.co/batidora-de-inmersion-blackdecker-hb2800b-negra-110v-60-hz-200w/p/MCO10432112#polycard_client=search-nordic&searchVariation=MCO10432112&position=29&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1207134864&sid=search
Electrodomésticos,Aspiradora Truper Aspi-03 11l 2 Hp Sólidos Y Líquidos 120v Color Naranja/Negro,Por Soelco,282060,https://www.mercadolibre.com.co/aspiradora-truper-aspi-03-11l-2-hp-solidos-y-liquidos-120v-color-naranjanegro/p/MCO18609172#polycard_client=search-nordic&searchVariation=MCO18609172&position=30&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO866824030&sid=search
Electrodomésticos,Aspiradora Magnux Vertical Mano Hogar Carro Inalambrica,Por MAGNUX,219800,https://www.mercadolibre.com.co/aspiradora-magnux-vertical-mano-hogar-carro-inalambrica/p/MCO34102999#polycard_client=search-nordic&searchVariation=MCO34102999&position=31&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1397141873&sid=search
Electrodomésticos,Gallina Electrica Cocinador Hervidor De 7 Huevos A Vapor Fit Color Amarillo,No especificado,21900,https://www.mercadolibre.com.co/gallina-electrica-cocinador-hervidor-de-7-huevos-a-vapor-fit-color-amarillo/p/MCO21938021#polycard_client=search-nordic&searchVariation=MCO21938021&position=32&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1309049383&sid=search
Electrodomésticos,Freidora De Aire Kalley 6.3 Litros K-maf6 Negro Color Negro/Plateado 110V,No especificado,350000,https://www.mercadolibre.com.co/freidora-de-aire-kalley-63-litros-k-maf6-negro-color-negroplateado-110v/p/MCO29119893#polycard_client=search-nordic&searchVariation=MCO29119893&position=33&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1466878091&sid=search
Electrodomésticos,Balanza Gramera Báscula Digital Cocina Capacidad Hasta 10kg Capacidad máxima 10 kg Color Blanco,No especificado,13466,https://www.mercadolibre.com.co/balanza-gramera-bascula-digital-cocina-capacidad-hasta-10kg-capacidad-maxima-10-kg-color-blanco/p/MCO21239613#polycard_client=search-nordic&searchVariation=MCO21239613&position=34&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO2440155850&sid=search
Electrodomésticos,Batidor Eléctrico Portátil Mezclador Espuma Café Leche Huevo Color Blanco Frecuencia 1200RPM 5V,No especificado,17000,https://www.mercadolibre.com.co/batidor-electrico-portatil-mezclador-espuma-cafe-leche-huevo-color-blanco-frecuencia-1200rpm-5v/p/MCO21349271#polycard_client=search-nordic&searchVariation=MCO21349271&position=35&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1343528505&sid=search
Electrodomésticos,Cafetera Oster® Térmica Programable Línea Gourmet Bvstdc4411 Color Gris 110V,Por Oster,450900,https://www.mercadolibre.com.co/cafetera-oster-termica-programable-linea-gourmet-bvstdc4411-color-gris-110v/p/MCO25961874#polycard_client=search-nordic&searchVariation=MCO25961874&position=36&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO2744074216&sid=search
Electrodomésticos,Aspiradora Robot Xiaomi Vacuum S20 Negra 110v Color Negro,No especificado,1199900,https://www.mercadolibre.com.co/aspiradora-robot-xiaomi-vacuum-s20-negra-110v-color-negro/p/MCO44714805#polycard_client=search-nordic&searchVariation=MCO44714805&position=37&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1551447655&sid=search
Electrodomésticos,"Freidora De Aire Imusa Air Fryer Esencial 3,2 Litros Negro",Por Imusa Home & Cook,509900,https://www.mercadolibre.com.co/freidora-de-aire-imusa-air-fryer-esencial-32-litros-negro/p/MCO19641189#polycard_client=search-nordic&searchVariation=MCO19641189&position=38&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1020999772&sid=search
Electrodomésticos,"Cafetera Oster®, para Espresso y Cappuccino,4 Tazas, Tubo de Vapor para Espumar la Leche, Negro, BVSTEM3300",No especificado,300500,https://www.mercadolibre.com.co/cafetera-oster-para-espresso-y-cappuccino4-tazas-tubo-de-vapor-para-espumar-la-leche-negro-bvstem3300/p/MCO33308926#polycard_client=search-nordic&searchVariation=MCO33308926&position=39&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1572714739&sid=search
Electrodomésticos,"Protector Voltaje Multimatic para Tv, Xbox, Play Color Blanco",No especificado,24900,https://www.mercadolibre.com.co/protector-voltaje-multimatic-para-tv-xbox-play-color-blanco/p/MCO19719168#polycard_client=search-nordic&searchVariation=MCO19719168&position=40&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1708758550&sid=search
Electrodomésticos,Batidora De Pedestal Fika 380w 4lt 8 Velocidades 127v Color Gris,Por FIKA,449900,https://www.mercadolibre.com.co/batidora-de-pedestal-fika-380w-4lt-8-velocidades-127v-color-gris/p/MCO38365940#polycard_client=search-nordic&searchVariation=MCO38365940&position=41&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO2548060078&sid=search
Electrodomésticos,Balanza Gramera Bascula Digital Pesa Cocina Acero Inox 5 Kgs Color Acero inoxidable,Por Casatua,59990,https://www.mercadolibre.com.co/balanza-gramera-bascula-digital-pesa-cocina-acero-inox-5-kgs-color-acero-inoxidable/p/MCO22372973#polycard_client=search-nordic&searchVariation=MCO22372973&position=42&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1339495795&sid=search
Electrodomésticos,Aspiradora Vertical 2 En 1 Power Speed Plus Electrolux Stk14 Color Denim blue 127V,No especificado,188500,https://www.mercadolibre.com.co/aspiradora-vertical-2-en-1-power-speed-plus-electrolux-stk14-color-denim-blue-127v/p/MCO18185615#polycard_client=search-nordic&searchVariation=MCO18185615&position=43&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO2599095520&sid=search
Electrodomésticos,Sandwichera Waflera Donera Y Parrilla Potencia 1200w Maquina 4 En 1 Color Negro,No especificado,104900,https://www.mercadolibre.com.co/sandwichera-waflera-donera-y-parrilla-potencia-1200w-maquina-4-en-1-color-negro/p/MCO35832760#polycard_client=search-nordic&searchVariation=MCO35832760&position=44&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1438860983&sid=search
Electrodomésticos,Truper Asp-06 23L aspiradora 1.15hp sólidos y líquidos 127V color naranja y negro,Por Soelco,427020,https://www.mercadolibre.com.co/truper-asp-06-23l-aspiradora-115hp-solidos-y-liquidos-127v-color-naranja-y-negro/p/MCO18922361#polycard_client=search-nordic&searchVariation=MCO18922361&position=45&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO868394576&sid=search
Electrodomésticos,Wafflera Belga Flash Cook+ 4 Rebanadas Acero Masterchef 1000 W,Por MasterChef,218900,https://www.mercadolibre.com.co/wafflera-belga-flash-cook-4-rebanadas-acero-masterchef-1000-w/p/MCO26777265#polycard_client=search-nordic&searchVariation=MCO26777265&position=46&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO2015365402&sid=search
Electrodomésticos,Máquina de crispetas Home Elements HEMY-B024 aire caliente roja 110V,No especificado,159900,https://www.mercadolibre.com.co/maquina-de-crispetas-home-elements-hemy-b024-aire-caliente-roja-110v/p/MCO44138864#polycard_client=search-nordic&searchVariation=MCO44138864&position=47&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO2540867328&sid=search
Electrodomésticos,"Balanza Pesa Digital Cocina Precision Medicion De 0,1g A 3kg Casatua",Por Casatua,89990,https://www.mercadolibre.com.co/balanza-pesa-digital-cocina-precision-medicion-de-01g-a-3kg-casatua/p/MCO21766413#polycard_client=search-nordic&searchVariation=MCO21766413&position=48&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1339535677&sid=search
Electrodomésticos,Sanduchera Panini Kalley K-smp200n Color Negro,Por Kalley,67500,https://www.mercadolibre.com.co/sanduchera-panini-kalley-k-smp200n-color-negro/p/MCO22293230#polycard_client=search-nordic&searchVariation=MCO22293230&position=49&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1634319690&sid=search
Electrodomésticos,Cafetera Prensa Francesa En Acero Inoxidable Double Wall 1 L - Vitto,No especificado,120000,https://www.mercadolibre.com.co/cafetera-prensa-francesa-en-acero-inoxidable-double-wall-1-l-vitto/p/MCO34115433#polycard_client=search-nordic&searchVariation=MCO34115433&position=50&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1399238517&sid=search
Electrodomésticos,Calentador Eléctrico Plegable Portable Hervidor De Liquido Color Blanco 110V,No especificado,26027,https://www.mercadolibre.com.co/calentador-electrico-plegable-portable-hervidor-de-liquido-color-blanco-110v/p/MCO24458389#polycard_client=search-nordic&searchVariation=MCO24458389&position=51&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO1381944163&sid=search
Electrodomésticos,Wafflera Belga Flash Cook 4 Rebanadas Negro Masterchef,Por MasterChef,185900,https://www.mercadolibre.com.co/wafflera-belga-flash-cook-4-rebanadas-negro-masterchef/p/MCO26539654#polycard_client=search-nordic&searchVariation=MCO26539654&position=52&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO2009848676&sid=search
Electrodomésticos,Cafetera Italiana Moka 6 Tazas Espresso (2 Tazas Tinto) 300ml - Vitto,No especificado,62000,https://www.mercadolibre.com.co/cafetera-italiana-moka-6-tazas-espresso-2-tazas-tinto-300ml-vitto/p/MCO34115435#polycard_client=search-nordic&searchVariation=MCO34115435&position=3&search_layout=stack&type=product&tracking_id=076cac61-bc00-4690-9d56-483a4f4693d6&wid=MCO2251144546&sid=search
Electrodomésticos,Cafetera Prensa Francesa 350ml En Vidrio Borosilicato,No especificado,29900,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=Ovf0aANANmslraBKh87rkVIN1r0aOE9V63MuUxOXjWoRt%2BrPNT%2FNf7vUm2zRtmRqqQYv04xAevjiyQ9zqTcA0x9QRdZIOPe%2Bso8P1suaXiZQodjD2JA468Bs3YTNvvxX5uEySCSJL98he%2B8W1BBmJy3si1i5oUw30e3R4%2BMgd5GaYHASffY23Acz4LQAmAKOnzPPSDtysMxe2lSrYgJELW0fEwFHUiVVweqZlQUmB9yaHZxHbsv68v8dhsdD3vLUer8xGd%2BAiQCzK%2BXpCUaIqRAX6iZXkRShv%2BK6R9%2B%2Fp0X4JJ4nT8a30Z2SNZytkcRr0ReGIZzOtbsfcCzrcCsZz2yozpL4UijKtmhb0czP2rEoZqhNq3Li0nhrh7tm0uUGICOS79fo1QV2mwSIxE5c7AvmMADUwO5kr4y64S1tKz0RzKdfnR6LO2y6%2BZ9uDmQmdsl%2FBL0bW1m6ZQQNIcVuAe8zs1TRqpjQUoSNHHyAuBeb4gs1SSB1xgmhuiYtS7M4MSS3yydNcCNIFQdwe9UurYQHPq2ONPxAnfxhvgZly%2F4jHvwYbz%2B9l1%2FvYpAQEk73kxciU1d%2FCc0LGGtOU3j%2Bo1G3oC5TnaS8VKZYeNzCqS%2FJLp3b%2FiySIioFLuLPLGWFNFUEkDLUYJ6rF0udLNVXDA8%2F5gRmeKDhKV0xD4CABdjvq8hGjBY65cYYsuS2RoM1seegOpyjf1E8VYYXaQu2D7Ka9rgBnpvJThG60Bh7bqYI9ZVuVsS%2BNQdTdOjZ8WF%2BWwuZaAQ9TWL7VU%2FROKGcP573BnM9KwunLHZvwfLEWD0tflbutjhMOqf4GAFhqG43ZwHhVoBT2lPmURn3U6b8%2FCFhtytNbPLgFeYRjrhht6yfxA%3D%3D&searchVariation=81502072857#polycard_client=search-nordic&tracking_id=d2585588-326b-4e68-96c1-a2b0cfb922f7
